country,sector,year,value
Brazil,Domestic aviation,2018,0.02
Brazil,Domestic aviation,2019,10.08
Brazil,Domestic aviation,2020,6.07
Brazil,Domestic aviation,2021,8.66
Brazil,Domestic aviation,2022,10.87
Brazil,Domestic aviation,2023,4.76
Brazil,Ground transport,2018,0.20
Brazil,Ground transport,2019,171.22
Brazil,Ground transport,2020,144.87
Brazil,Ground transport,2021,162.44
Brazil,Ground transport,2022,169.36
Brazil,Ground transport,2023,69.42
Brazil,Industry,2018,0.22
Brazil,Industry,2019,130.11
Brazil,Industry,2020,124.01
Brazil,Industry,2021,129.33
Brazil,Industry,2022,128.93
Brazil,Industry,2023,49.74
Brazil,International aviation,2018,0.02
Brazil,International aviation,2019,6.61
Brazil,International aviation,2020,2.79
Brazil,International aviation,2021,2.99
Brazil,International aviation,2022,5.00
Brazil,International aviation,2023,2.40
Brazil,Power,2018,0.10
Brazil,Power,2019,80.40
Brazil,Power,2020,70.79
Brazil,Power,2021,122.01
Brazil,Power,2022,46.96
Brazil,Power,2023,14.34
Brazil,Residential,2018,0.10
Brazil,Residential,2019,36.62
Brazil,Residential,2020,36.62
Brazil,Residential,2021,36.62
Brazil,Residential,2022,36.62
Brazil,Residential,2023,15.16
China,Domestic aviation,2018,0.16
China,Domestic aviation,2019,62.47
China,Domestic aviation,2020,51.55
China,Domestic aviation,2021,57.79
China,Domestic aviation,2022,34.61
China,Domestic aviation,2023,25.75
China,Ground transport,2018,2.52
China,Ground transport,2019,923.82
China,Ground transport,2020,809.06
China,Ground transport,2021,907.58
China,Ground transport,2022,874.68
China,Ground transport,2023,379.99
China,Industry,2018,10.42
China,Industry,2019,4103.01
China,Industry,2020,4258.01
China,Industry,2021,4370.86
China,Industry,2022,4202.25
China,Industry,2023,1697.79
China,International aviation,2018,0.08
China,International aviation,2019,31.44
China,International aviation,2020,12.70
China,International aviation,2021,10.99
China,International aviation,2022,9.38
China,International aviation,2023,4.71
China,Power,2018,14.82
China,Power,2019,4570.72
China,Power,2020,4656.13
China,Power,2021,5079.54
China,Power,2022,5140.76
China,Power,2023,2088.05
China,Residential,2018,4.35
China,Residential,2019,803.72
China,Residential,2020,808.77
China,Residential,2021,797.84
China,Residential,2022,816.27
China,Residential,2023,380.49
EU27 & UK,Domestic aviation,2018,0.03
EU27 & UK,Domestic aviation,2019,16.52
EU27 & UK,Domestic aviation,2020,8.58
EU27 & UK,Domestic aviation,2021,11.28
EU27 & UK,Domestic aviation,2022,14.57
EU27 & UK,Domestic aviation,2023,5.88
EU27 & UK,Ground transport,2018,1.64
EU27 & UK,Ground transport,2019,879.88
EU27 & UK,Ground transport,2020,830.01
EU27 & UK,Ground transport,2021,884.94
EU27 & UK,Ground transport,2022,885.33
EU27 & UK,Ground transport,2023,373.27
EU27 & UK,Industry,2018,0.89
EU27 & UK,Industry,2019,632.70
EU27 & UK,Industry,2020,583.97
EU27 & UK,Industry,2021,640.83
EU27 & UK,Industry,2022,665.11
EU27 & UK,Industry,2023,275.72
EU27 & UK,International aviation,2018,0.38
EU27 & UK,International aviation,2019,190.90
EU27 & UK,International aviation,2020,78.37
EU27 & UK,International aviation,2021,98.87
EU27 & UK,International aviation,2022,163.15
EU27 & UK,International aviation,2023,66.31
EU27 & UK,Power,2018,1.89
EU27 & UK,Power,2019,933.79
EU27 & UK,Power,2020,806.55
EU27 & UK,Power,2021,888.80
EU27 & UK,Power,2022,929.99
EU27 & UK,Power,2023,309.39
EU27 & UK,Residential,2018,2.58
EU27 & UK,Residential,2019,621.95
EU27 & UK,Residential,2020,609.18
EU27 & UK,Residential,2021,657.30
EU27 & UK,Residential,2022,608.48
EU27 & UK,Residential,2023,325.10
France,Domestic aviation,2018,0.00
France,Domestic aviation,2019,2.33
France,Domestic aviation,2020,1.29
France,Domestic aviation,2021,1.73
France,Domestic aviation,2022,1.94
France,Domestic aviation,2023,0.72
France,Ground transport,2018,0.21
France,Ground transport,2019,116.66
France,Ground transport,2020,105.02
France,Ground transport,2021,118.27
France,Ground transport,2022,118.85
France,Ground transport,2023,49.62
France,Industry,2018,0.06
France,Industry,2019,61.71
France,Industry,2020,54.71
France,Industry,2021,58.09
France,Industry,2022,58.94
France,Industry,2023,24.83
France,International aviation,2018,0.04
France,International aviation,2019,20.11
France,International aviation,2020,8.81
France,International aviation,2021,11.52
France,International aviation,2022,17.89
France,International aviation,2023,7.41
France,Power,2018,0.05
France,Power,2019,29.46
France,Power,2020,26.90
France,Power,2021,28.50
France,Power,2022,34.29
France,Power,2023,11.77
France,Residential,2018,0.33
France,Residential,2019,79.93
France,Residential,2020,76.07
France,Residential,2021,83.46
France,Residential,2022,75.74
France,Residential,2023,41.24
Germany,Domestic aviation,2018,0.00
Germany,Domestic aviation,2019,2.12
Germany,Domestic aviation,2020,1.02
Germany,Domestic aviation,2021,0.92
Germany,Domestic aviation,2022,1.15
Germany,Domestic aviation,2023,0.50
Germany,Ground transport,2018,0.20
Germany,Ground transport,2019,150.56
Germany,Ground transport,2020,149.15
Germany,Ground transport,2021,150.33
Germany,Ground transport,2022,149.64
Germany,Ground transport,2023,62.36
Germany,Industry,2018,0.11
Germany,Industry,2019,124.16
Germany,Industry,2020,113.00
Germany,Industry,2021,118.38
Germany,Industry,2022,117.99
Germany,Industry,2023,49.52
Germany,International aviation,2018,0.05
Germany,International aviation,2019,28.79
